"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-18 18:15:00","2019-07-19 00:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-18 19:00:00","2019-07-19 00:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-18 19:30:00","2019-07-19 01:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-18 19:30:00","2019-07-19 01:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-18 20:00:00","2019-07-19 01:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-18 20:00:00","2019-07-19 01:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.86","2019-07-18 21:15:00","2019-07-19 03:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-18 22:30:00","2019-07-19 04:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-18 22:30:00","2019-07-19 04:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-18 23:15:00","2019-07-19 05:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-18 23:30:00","2019-07-19 05:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-18 23:45:00","2019-07-19 05:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 01:00:00","2019-07-19 06:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 03:00:00","2019-07-19 08:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 03:30:00","2019-07-19 09:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 04:00:00","2019-07-19 09:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 04:15:00","2019-07-19 10:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 05:00:00","2019-07-19 10:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 06:00:00","2019-07-19 11:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 07:00:00","2019-07-19 12:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 07:30:00","2019-07-19 13:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-19 07:45:00","2019-07-19 13:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 08:15:00","2019-07-19 14:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 08:30:00","2019-07-19 14:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-19 09:30:00","2019-07-19 15:15:00","m",2.3,2.8,"27.774022","85.425821"
