"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Arun River at Simle","Koshi","1.97","2019-05-31 18:25:00","2019-06-01 00:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-05-31 18:45:00","2019-06-01 00:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 19:05:00","2019-06-01 00:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-05-31 19:25:00","2019-06-01 01:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 19:55:00","2019-06-01 01:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 20:15:00","2019-06-01 02:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 20:25:00","2019-06-01 02:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 20:25:00","2019-06-01 02:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 20:45:00","2019-06-01 02:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 20:45:00","2019-06-01 02:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 21:15:00","2019-06-01 03:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 21:35:00","2019-06-01 03:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 21:35:00","2019-06-01 03:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 21:55:00","2019-06-01 03:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 21:55:00","2019-06-01 03:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 22:05:00","2019-06-01 03:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 22:35:00","2019-06-01 04:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 22:35:00","2019-06-01 04:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 22:55:00","2019-06-01 04:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-05-31 22:55:00","2019-06-01 04:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 23:05:00","2019-06-01 04:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-05-31 23:35:00","2019-06-01 05:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-05-31 23:45:00","2019-06-01 05:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-01 00:05:00","2019-06-01 05:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-01 00:25:00","2019-06-01 06:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-01 00:45:00","2019-06-01 06:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-01 01:15:00","2019-06-01 07:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-01 01:35:00","2019-06-01 07:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-01 01:45:00","2019-06-01 07:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-01 02:05:00","2019-06-01 07:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-01 02:35:00","2019-06-01 08:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 03:35:00","2019-06-01 09:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 03:35:00","2019-06-01 09:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-01 03:55:00","2019-06-01 09:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.02","2019-06-01 03:55:00","2019-06-01 09:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 04:05:00","2019-06-01 09:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 04:25:00","2019-06-01 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 04:25:00","2019-06-01 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-01 04:35:00","2019-06-01 10:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 04:45:00","2019-06-01 10:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 05:05:00","2019-06-01 10:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-01 05:25:00","2019-06-01 11:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-01 05:35:00","2019-06-01 11:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-01 06:05:00","2019-06-01 11:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-01 06:55:00","2019-06-01 12:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.15","2019-06-02 04:25:00","2019-06-02 10:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.14","2019-06-02 04:55:00","2019-06-02 10:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.14","2019-06-02 04:55:00","2019-06-02 10:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.14","2019-06-02 05:35:00","2019-06-02 11:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.13","2019-06-02 05:55:00","2019-06-02 11:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.12","2019-06-02 06:15:00","2019-06-02 12:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.13","2019-06-02 06:25:00","2019-06-02 12:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.12","2019-06-02 06:55:00","2019-06-02 12:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.12","2019-06-02 06:55:00","2019-06-02 12:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.10","2019-06-02 07:25:00","2019-06-02 13:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.09","2019-06-02 07:45:00","2019-06-02 13:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.09","2019-06-02 07:45:00","2019-06-02 13:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.10","2019-06-02 07:55:00","2019-06-02 13:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.10","2019-06-02 08:05:00","2019-06-02 13:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.08","2019-06-02 08:25:00","2019-06-02 14:10:00","m",10,11,"26.9233","87.1552"
